version	name	statements_md5	statement_count	executable_md5
20260526060301	luminari_fixture_extraction_staging_corrected	c431722da47f53de89208e6f8c34edac	1	4fdb9d387587cbac7818594316582259
20260526061134	tighten_michigan_fixture_expectations	3702bc6574e5269f2c586a338d5cb5f9	1	f3636e1eaba7e232528f8bb90e57deee
20260526061651	tighten_wisconsin_fixture_expectations	78707273b6f5ad246717bd3feb302f73	1	721b364a02354b43dc5a6e32e3f6cec4
20260526062556	tighten_illinois_fixture_expectations	f5272363065cbcca2c1a05a61e59498e	1	63d62d1d1f4c7f8d1e9cf393157e4655
20260526063109	load_michigan_fixture_layer0_pass_1_corrected	4021175d65853a2c7f431f278f8c91f9	1	b5b71d2f9b6ad0bd09807cbcf002bace
20260526065133	register_regional_and_policy_fixture_sets	783e5c5d0eca6751ef8007cc514c2046	1	d06152ec91b70ce4cff77153a2896351
20260526065408	register_pnw_structured_tribal_pack_fixture	62db3a220bc44723fbb62cb118aa1b9d	1	e295017878fe1276f7bacbf0ec380e33
20260526071125	register_address_audit_fixture	27b8d46565beff9b0f84985d166aa602	1	a680770656bf030c39024eb7dcb1b9f2
20260526072604	register_courtlistener_ingest_adapter_fixture	1c7c239328772024923eaeecb51fbf3b	1	4c3333c5bb337f127891b2bb45518a2f
20260526074154	create_continuous_ingest_governance_tables	bd66fbdc34488195acdbeea8178e68af	1	bd66fbdc34488195acdbeea8178e68af
20260526121817	register_luminari_archive_bundle_fixtures	1f8ce931a46359f79808caa7a4546540	1	609d8b2d279c0effa5bf730547ac4bb1
20260526124302	register_tribal_law_pipeline_spec_fixture	0c5cbea776a9f8a32f335640c95c9a6e	1	5d5bc472000ed86cd8201e79036969b3
20260526125644	register_batch_002_wave8_civic_stack_seed	4bba68e40caa8dcca440475340828765	1	42f070cc86a7bad14baf87a3e46d0664
20260526210708	conveyor_v1_deadline_schema_rails	c634ef693ce496e0e0600af422f99a46	1	b242c915fc7ae81fcf326050310c65cf
20260529061843	enable_authenticated_rls_access	da5d9e923da7eaf498a1aca819a73429	1	da5d9e923da7eaf498a1aca819a73429
